time,V(vout),V(n002)
4.382039647183866e-003,1.032121e-001,6.751490e-002
4.402039647183775e-003,9.560651e-002,5.773693e-002
4.422039647183684e-003,8.758817e-002,4.704841e-002
4.442039647183593e-003,7.936293e-002,3.561791e-002
4.462039647183502e-003,7.114872e-002,2.362569e-002
4.482039647183411e-003,6.316917e-002,1.126089e-002
4.502039647183320e-003,5.564414e-002,-1.281513e-003
4.522039647183229e-003,4.877628e-002,-1.380370e-002
4.542039647183138e-003,4.273364e-002,-2.610820e-002
4.562039647183047e-003,3.763051e-002,-3.800095e-002
4.582039647182956e-003,3.351205e-002,-4.929441e-002
4.602039647182865e-003,3.034960e-002,-5.981046e-002
4.622039647182774e-003,2.805063e-002,-6.938327e-002
4.642039647182683e-003,2.647976e-002,-7.786187e-002
4.662039647182592e-003,2.548262e-002,-8.511253e-002
4.682039647182501e-003,2.490530e-002,-9.102092e-002
4.702039647182410e-003,2.460846e-002,-9.549385e-002
4.722039647182319e-003,2.447885e-002,-9.846079e-002
4.742039647182228e-003,2.444058e-002,-9.987494e-002
4.762039199249113e-003,2.446469e-002,-9.971403e-002
4.782039199249022e-003,2.457344e-002,-9.798058e-002
4.802039199248931e-003,2.483741e-002,-9.470192e-002
4.822039199248840e-003,2.536707e-002,-8.992976e-002
4.842039199248749e-003,2.630235e-002,-8.373934e-002
4.862039199248658e-003,2.780146e-002,-7.622831e-002
4.882039199248567e-003,3.002671e-002,-6.751511e-002
4.902039199248476e-003,3.312390e-002,-5.773716e-002
4.922039199248385e-003,3.719636e-002,-4.704866e-002
4.942039199248294e-003,4.228123e-002,-3.561817e-002
4.962039199248203e-003,4.833731e-002,-2.362597e-002
4.982039199248112e-003,5.523316e-002,-1.126117e-002
4.999999999999893e-003,6.191918e-002,-9.780130e-014
